"€255,000  €3,000 on 27th Aug 19 "," Martello, Rushbrooke, Co. Cork"
"€555,000  €160,000 on 11th Oct 19 "," 4 Bed Detached, Blackrock Villas, Blackrock, Cork"
"€560,000 "," ‘Mount Cronan’,  39, Sidney Park, Cork, St Lukes, Cork City"
"€340,000 "," 46 Clarkeswood, Mount Oval Village, Rochestown, Cork"
"€630,000 "," 14 Courtwood, Garryduff, Rochestown, Cork"
"€395,000 "," 46 Farranlea Road, Model Farm Road, Cork"
"€275,000 "," 32 The Close, Ardpatrick, Ladyswell, Blackpool, Cork"
"€379,000 "," 97 The Drive, Broadale, Maryborough Hill, Douglas, Cork"
"€225,000 "," 5 Meelick Park, Ballyvolane,   Cork City"
"€215,000 "," 27 The Courtyard, City Square, City Centre Nth, Cork City"
"€325,000 "," 21 Clanrickarde Estate, Boreenamanna Road, Cork, T12 RK7E"
"€270,000 "," 'INIS, Reendowney Place, Friars Walk, Ballyphehane, Cork"
"€278,000 "," 75 Gate Lodge, Castle Road, Blackrock, Cork"
"€490,000 "," Glenlough, Ardfoyle Crescent, Blackrock, Cork"
"€170,000 "," 24 Mount Eden Rise, Blarney Street, Cork, T23 Y6V3"
"€325,000 "," 9 Manor Close, Thornbury Heights, Rochestown, Cork"
"€150,000 "," 82 Evergreen Street, City Centre Sth,   Cork City"
"€850,000 "," Cúil Mín, Rochestown Road, Cork"
"€505,000 "," Norville, 42 Sidney Park, Wellington Road, Cork"
"€740,000 "," 71 Dewberry, Mount Oval Village, Rochestown, Cork"
"€380,000 "," 34 Yewlands, Maryborough Woods, Douglas, Cork"
